Questions,Answers
What should I do if my train is delayed or canceled?,"Check updates via the Indian Railways app or website. For compensation, submit a claim."
How can I get compensation for a delayed or canceled train?,"Submit a claim through the Indian Railways website, app, or Rail Madad portal."
How can I check the reason for the delay of my train?,"Check the ""Train Status"" on the Indian Railways website or app."
What can I do if my reserved seat is occupied by someone else?, Inform the train conductor or TTE (Ticket Examiner).File complaint on Rail Madad.
How do I request a change of seat during the journey?,Speak to the TTE or conductor to request a seat change.
"What should I do if there is an issue with my sleeper berth (e.g., damaged or unusable)?",Inform the TTE or train staff for assistance.
How can I report a cleanliness issue on the train?,Report via Rail Madad or the Indian Railways app.
How do I report a dirty toilet on the train?,Report it to the train staff or use Rail Madad for complaints.
What should I do if there is no water supply on the train?,Report to the train staff or the TTE immediately.
How do I report a suspicious person or activity on the train?,"Contact the TTE or security staff, or report via Rail Madad."
What should I do if I feel unsafe during my journey?,Contact the TTE or nearest security personnel immediately.
How do I report theft or lost items during the journey?,Report it to the TTE or through the Rail Madad portal.
How do I report an issue with the food served on the train?,Report to the catering staff or use Rail Madad for complaints.
What should I do if I find a foreign object in my food?,Inform the train staff immediately and file a complaint via Rail Madad.
How can I request assistance if I have food allergies or dietary preferences?,Contact the catering staff before your journey or use Rail Madad.
How do I report issues related to the accessibility of the train for differently-abled passengers?,Report through Rail Madad or to train staff.
What should I do if I cannot find the reserved wheelchair facility?,Contact train staff or use Rail Madad for assistance.
How can I file a complaint about the quality of train service on Rail Madad?,Use the Rail Madad app or website to file a complaint.
Can I file a complaint through the Rail Madad app or website?,"Yes, you can file complaints directly through the Rail Madad platform."
How do I submit feedback about my train journey through Rail Madad?,Submit feedback via the Rail Madad app or website.
How long will it take for Rail Madad to resolve my complaint?,Complaints are typically resolved within 7 days.
Who can I contact if my complaint remains unresolved for a long time?,Escalate to the senior railway authority through Rail Madad or customer service.
How can I escalate a complaint that is not being addressed?,"Use the ""Escalate"" option in the Rail Madad app or contact customer service."
How do I request a refund for a train journey that was not satisfactory?,Apply through the Indian Railways website or Rail Madad.
Can I claim compensation through Rail Madad for an inconvenience faced during my journey?,"Yes, you can claim compensation via Rail Madad."
How do I track the status of my refund claim?,Track your claim status on Rail Madad or Indian Railways' website.
